Trial_Index_	VideoCount	thoughtype	successoftrial	Descision	VideoShown	VividnessX	VividnessY	VividnessPic	VividnessScore	EventScoreX	EventScoreY	EventPic	EventScore	ConfidentScoreX	ConfidentScoreY	ConfidenceScore	ConfidencePic	SelfResponsibilityPic	SelfResponsibilityScore	OtherResponsibilityPic	OtherResponsibilityScore	vividnessquestionyourball	eventquestionyourballleft	confidence	selfresponsibility	otherresponsibility	videoorientationtext	orientationpictureinstruct	eventquestionyourballright
1	1	Cause	Success	"left"	LAMI_left_success_down.mp4	1214	665	LAMIVividness4.png	4	1298	685	LAMIChoice6.png	6	1290	687	6	LAMIChoice6.png	LAMIChoice6.png	6	LAMIChoice1.png	1	"How vividly could you visualize whether your ball caused the outcome?"	"To what extent did your ball's moving left cause the ball to score?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent did your ball's moving right cause the ball to score?"
2	2	Cause	Success	"left"	LAMI_left_success_down.mp4	1208	665	LAMIVividness4.png	4	1300	686	LAMIChoice6.png	6	1299	686	6	LAMIChoice6.png	LAMIChoice6.png	6	LAMIChoice1.png	1	"How vividly could you visualize whether your ball caused the outcome?"	"To what extent did your ball's moving left cause the ball to score?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent did your ball's moving right cause the ball to score?"
3	3	"What If?"	Success	"right"	LAMI_right_success_down.mp4	956	641	LAMIVividness3.png	3	469	674	LAMIChoice1.png	1	1307	685	6	LAMIChoice6.png	LAMIChoice5.png	5	LAMIChoice2.png	2	"How vividly could you visualize what would have happened if your ball went in the other direction?"	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"
4	4	Cause	Miss	"right"	LAMI_right_failure_down.mp4	980	647	LAMIVividness3.png	3	1128	688	LAMIChoice5.png	5	1130	687	5	LAMIChoice5.png	LAMIChoice2.png	2	LAMIChoice6.png	6	"How vividly could you visualize whether your ball caused the outcome?"	"To what extent did your ball's moving left cause the ball to not score?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent did your ball's moving right cause the ball to not score?"
5	5	"What If?"	Miss	"left"	LAMI_left_failure_down.mp4	1200	665	LAMIVividness4.png	4	1464	685	LAMIChoice7.png	7	1459	663	7	LAMIChoice7.png	LAMIChoice2.png	2	LAMIChoice6.png	6	"How vividly could you visualize what would have happened if your ball went in the other direction?"	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"
6	6	"What If?"	Miss	"right"	LAMI_right_failure_down.mp4	968	633	LAMIVividness3.png	3	1304	698	LAMIChoice6.png	6	1304	698	6	LAMIChoice6.png	LAMIChoice2.png	2	LAMIChoice5.png	5	"How vividly could you visualize what would have happened if your ball went in the other direction?"	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"
7	7	"What If?"	Success	"left"	LAMI_left_success_down.mp4	960	629	LAMIVividness3.png	3	620	655	LAMIChoice2.png	2	1133	632	5	LAMIChoice5.png	LAMIChoice4.png	4	LAMIChoice3.png	3	"How vividly could you visualize what would have happened if your ball went in the other direction?"	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"
8	8	Remember	Success	"left"	LAMI_left_success_down.mp4	1243	667	LAMIVividness4.png	4	1321	638	LAMIChoice6.png	6	1465	627	7	LAMIChoice7.png	LAMIChoice6.png	6	LAMIChoice3.png	3	"How vividly could you visualize what your ball just did?"	"To what extent do you think that your ball scored?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball scored?"
9	9	Remember	Miss	"left"	LAMI_left_failure_down.mp4	1451	655	LAMIVividness5.png	5	474	515	LAMIChoice1.png	1	1331	627	6	LAMIChoice6.png	LAMIChoice2.png	2	LAMIChoice6.png	6	"How vividly could you visualize what your ball just did?"	"To what extent do you think that your ball scored?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball scored?"
10	10	Remember	Success	"right"	LAMI_right_success_down.mp4	1423	590	LAMIVividness5.png	5	1440	624	LAMIChoice7.png	7	1440	624	7	LAMIChoice7.png	LAMIChoice7.png	7	LAMIChoice2.png	2	"How vividly could you visualize what your ball just did?"	"To what extent do you think that your ball scored?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball scored?"
11	11	Remember	Success	"left"	LAMI_left_success_down.mp4	1227	673	LAMIVividness4.png	4	1300	645	LAMIChoice6.png	6	1300	645	6	LAMIChoice6.png	LAMIChoice6.png	6	LAMIChoice1.png	1	"How vividly could you visualize what your ball just did?"	"To what extent do you think that your ball scored?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball scored?"
12	12	Remember	Miss	"right"	LAMI_right_failure_down.mp4	1441	650	LAMIVividness5.png	5	476	655	LAMIChoice1.png	1	1125	632	5	LAMIChoice5.png	LAMIChoice3.png	3	LAMIChoice5.png	5	"How vividly could you visualize what your ball just did?"	"To what extent do you think that your ball scored?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball scored?"
13	13	Cause	Miss	"left"	LAMI_left_failure_down.mp4	1205	663	LAMIVividness4.png	4	1124	640	LAMIChoice5.png	5	1122	601	5	LAMIChoice5.png	LAMIChoice3.png	3	LAMIChoice3.png	3	"How vividly could you visualize whether your ball caused the outcome?"	"To what extent did your ball's moving left cause the ball to not score?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent did your ball's moving right cause the ball to not score?"
14	14	Remember	Miss	"left"	LAMI_left_failure_down.mp4	1424	632	LAMIVividness5.png	5	480	642	LAMIChoice1.png	1	1139	631	5	LAMIChoice5.png	LAMIChoice2.png	2	LAMIChoice5.png	5	"How vividly could you visualize what your ball just did?"	"To what extent do you think that your ball scored?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball scored?"
15	15	"What If?"	Success	"right"	LAMI_right_success_down.mp4	958	648	LAMIVividness3.png	3	481	648	LAMIChoice1.png	1	1291	636	6	LAMIChoice6.png	LAMIChoice5.png	5	LAMIChoice3.png	3	"How vividly could you visualize what would have happened if your ball went in the other direction?"	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"
16	16	"What If?"	Miss	"left"	LAMI_left_failure_down.mp4	691	576	LAMIVividness2.png	2	1120	593	LAMIChoice5.png	5	1133	585	5	LAMIChoice5.png	LAMIChoice4.png	4	LAMIChoice4.png	4	"How vividly could you visualize what would have happened if your ball went in the other direction?"	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent do you think that your ball would have scored if your ball had gone in the other direction?"
17	17	Cause	Success	"right"	LAMI_right_success_down.mp4	521	572	LAMIVividness1.png	1	501	613	LAMIChoice1.png	1	512	622	1	LAMIChoice1.png	LAMIChoice2.png	2	LAMIChoice2.png	2	"How vividly could you visualize whether your ball caused the outcome?"	"To what extent did your ball's moving left cause the ball to score?"	"How confident are you in your response?"	"How responsible are you for the ball scoring?"	"How responsible is the goalie for the ball scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent did your ball's moving right cause the ball to score?"
18	18	Cause	Miss	"left"	LAMI_left_failure_down.mp4	1227	687	LAMIVividness4.png	4	1312	631	LAMIChoice6.png	6	1312	631	6	LAMIChoice6.png	LAMIChoice6.png	6	LAMIChoice5.png	5	"How vividly could you visualize whether your ball caused the outcome?"	"To what extent did your ball's moving left cause the ball to not score?"	"How confident are you in your response?"	"How responsible are you for the ball not scoring?"	"How responsible is the goalie for the ball not scoring?"	Down	LAMI_Setup_NoLabels_Down.jpg	"To what extent did your ball's moving right cause the ball to not score?"
