"id","condition","block","display","loop","outcome","imagination","lr","vividness","rating","confidence","duration","gender","age","race","hispanic","education","display","feedback","CheckQ1","CheckQ1Again","CheckQ2","CheckQ2Again","CheckQ3","CheckQ3Again"
"R_2Vm6LN6zkzpklQi","goalie",1,"up",1,"S","Remember","right","79.296","89.718","92.254","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",2,"S","What If?","right","78.028","0.282","91.549","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",3,"S","Cause","right","87.324","84.648","91.408","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",4,"M","Remember","left","93.239","0.141","99.577","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",5,"M","What If?","right","94.789","98.592","97.465","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",6,"M","Cause","right","83.521","87.042","88.31","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",7,"S","Remember","right","88.028","84.085","89.296","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",8,"S","What If?","right","61.972","12.394","91.549","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",9,"S","Cause","right","78.31","93.521","86.62","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
"R_2Vm6LN6zkzpklQi","goalie",1,"up",10,"M","Remember","right","83.239","2.535","96.197","1774","Male","48","White/Caucasian","No","Some college","up","none","Think about/visualize how ${e://Field/Condition} just moved.","","Think about/visualize what would have happened if ${e://Field/Condition} had moved in the other direction.","","Think about/visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.",""
